# Extracted source from Kviz pitanja i odgovori.pdf. Do not import this file directly into app quizzes.
# App-facing quiz documents must be localized through health-quiz-translations.tsv or another de/en translation file.
# number	prompt	correctOptionId	a	b	c
1	Kako se, prema nauci, najlakše uvodi nova zdrava navika u život?	b	Čekanjem prave motivacije i jačanjem snage volje	Spajanjem nove navike sa nekom već postojećom rutinom	Pokretanjem više različitih promena istovremeno
2	Zašto su složeni ugljeni hidrati (poput onih u integralnim žitaricama) bolji izvor energije od običnog šećera?	a	Sporije se razlažu i ne izazivaju nagle skokove šećera u krvi	Zato što imaju znatno veću kalorijsku vrednost po gramu od prostih šećera	Zato što ih organizam direktno pretvara u mišićnu masu bez uticaja na insulin
3	Šta u našem telu služi kao "građevinski materijal" za obnovu mišića, kože i kose?	b	Masti koje unosimo kroz hranu	Proteini (belančevine)	Vitamini i minerali
4	Koja je glavna opasnost brzih dijeta u kojima se danima piju samo sokovi?	b	Može doći do prebrzog i opasnog topljenja masnih naslaga	Gubimo uglavnom vodu i mišiće, a usporavamo metabolizam	Telo počinje da zadržava preveliku količinu toksina u crevima
5	Šta znači kada za neku hranu kažemo da ima "prazne kalorije"?	b	Da ta hrana ima vrlo malo kalorija i da ne goji	Da daje dosta energije, ali nema vitamine, minerale niti hranljive materije	Da se te kalorije troše same od sebe tokom varenja
6	Zašto je hrana bogata vlaknima (poput povrća i jabuka) važna za mršavljenje?	b	Zato što vlakna ubrzavaju topljenje masti u telu tokom spavanja	Zato što daju dugotrajan osećaj sitosti i poboljšavaju varenje	Zato što vlakna sprečavaju telo da uopšte upije kalorije iz obroka
7	Zašto nas sokovi i slatkiši sa industrijskim sirupima ne mogu zasititi kao prava hrana?	a	Zato što ti sirupi ne stvaraju pravi osećaj sitosti, pa mozak misli da smo i dalje gladni	Zato što ti sirupi sadrže znatno manje kalorija od običnog belog šećera	Zato što ti sirupi blokiraju rad želuca i potpuno zaustavljaju varenje
8	Šta je takozvani "jo-jo efekat" kod držanja dijeta?	a	brzi gubitak kilograma na rigoroznoj dijeti, a zatim još brži povratak svih kila čim se vratimo starim navikama	proces u kojem telo u toku dijete prvo gubi vodu pa tek onda masti	pojava da na svakih nekoliko meseci vaga pokazuje različitu težinu zbog promene godišnjih doba
9	Koje masti se smatraju "dobrim" mastima koje štite srce i krvne sudove?	b	Trans-masti koje se nalaze u margarinu, čipsu i kupovnim lisnatim testima	Nezasićene masne kiseline (npr. iz maslinovog ulja, avokada i koštunjavog voća)	Zasićene masti koje se nalaze isključivo u svinjskoj masti i crvenom mesu
10	Šta je primarni izvor energije za ljudski mozak u normalnim uslovima ishrane?	a	Glukoza (šećer)	Slobodne masne kiseline	Aminokiseline razgranatog lanca
