# locale	number	prompt	a	b	c
en	1	What is scientifically considered the best way to introduce a new healthy habit into your life?	Waiting until you get strong inspiration and motivation	Linking the new habit to an existing routine, for example stretching right after your first morning coffee	Radically changing your whole life at once, starting next Monday
en	2	Why are carbohydrates from whole grains called complex and considered better than white sugar?	They break down more slowly, provide lasting energy, and do not cause sharp blood sugar spikes	Because they have more calories than pure sugar	They are harder to cook and prepare
en	3	Which of the following acts as building material in the body, helping repair muscles, skin, and hair?	Fats	Proteins	Simple sugars
en	4	What is the main danger of crash or detox diets where people drink only juices for days?	The body loses too much fat too quickly	The body mostly loses water and muscle mass, while metabolism slows down	The skin becomes too elastic
en	5	What does it mean when a food has empty calories?	The food literally has no calories at all	It provides a lot of energy but almost no vitamins, minerals, or nutrients	Those calories cannot be digested
en	6	Why is fiber-rich food such as vegetables and apples important for weight loss?	Fiber burns fat as soon as it enters the stomach	Fiber swells in the stomach, gives long-lasting fullness, and feeds good gut bacteria	Fiber completely blocks water intake in the body
en	7	How does fructose from industrial syrups such as HFCS affect satiety signaling compared with glucose?	It stimulates insulin and leptin in exactly the same way	It stimulates insulin less and does not suppress ghrelin, the hunger hormone, in the same way, making overeating easier	It completely blocks fat absorption in the small intestine
en	8	What is the yo-yo effect in dieting?	Rapid weight loss on a strict diet followed by an even faster regain when old habits return	Changing sports every week	A positive effect that speeds up leg muscle growth
en	9	Which fats are considered good fats that protect the heart and blood vessels?	Trans fats from pastries and chips	Unsaturated fatty acids, for example from olive oil, avocado, and nuts	Rancid deep-fryer fat
en	10	What is the primary energy source for the human brain under normal eating conditions?	Glucose, or sugar	Free fatty acids	Branched-chain amino acids
en	11	How does a calorie deficit affect weight loss?	It means eating more than you burn, so weight goes down	It is the basic scientific mechanism of weight loss: you eat fewer calories than your body uses	It means a vitamin deficit in the diet
en	12	Which foods contain complete proteins with all essential amino acids?	Lean meat, eggs, and fish	Cucumber and green salad	White bread and pastries
en	13	Which mineral regulates body fluid balance and is often consumed too much through salty processed food?	Calcium	Sodium, or table salt	Iron
en	14	What happens when the body enters ketosis on extremely low-carbohydrate diets?	The body starts turning water into muscle	The liver produces ketones from fat, which the body then uses as its main energy source instead of glucose	The body completely stops using energy
en	15	What is the main role of good bacteria, or probiotics, in the digestive tract?	They destroy all vitamins we consume	They help digestion, support immunity, and influence serotonin production	They only make the stomach look bigger
en	16	What is the thermic effect of food, or TEF?	The temperature at which food must be cooked to be healthy	The energy the body uses to digest and absorb the food we eat	The speed at which food cools at room temperature
